sensor_1,sensor_2,sensor_3,sensor_4,sensor_5
-0.034639027,0.04762603,-0.02386799,-0.008927686,0.04659572
-0.034050915,0.029260471,-0.023583002,-0.0071320552,0.04712614
-0.050423272,0.038447723,-0.045725826,-0.023793936,0.051616292
-0.051045675,0.04121829,-0.026017157,-0.031724203,0.056140166
-0.04010779,0.02428421,-0.038780417,-0.023270575,0.065244295
-0.03891974,0.022266094,-0.024268178,-0.025448276,0.040334046
-0.03251842,0.064085744,-0.0058564693,-0.013117894,0.030184854
-0.025370672,0.030725839,-0.017039126,-0.033789627,0.050872263
-0.036501247,0.06905881,-0.024391409,0.00036561207,0.034816988
-0.04994807,0.026000129,-0.015251838,-0.008466436,0.048213057
-0.035960127,0.049185097,-0.020929497,0.0041246777,0.036757544
-0.041894488,0.025183668,-0.02728245,-0.019526804,0.052327935
-0.045030728,0.03253511,-0.02308196,-0.036671255,0.053980697
-0.050434683,0.031765785,-0.030565182,-0.04529119,0.052366156
-0.03837733,0.027499324,-0.03397788,-0.025380911,0.07860113
-0.033441067,0.03096147,-0.034598287,-0.013475653,0.038747706
-0.03861602,0.04128111,-0.008011095,-0.010756816,0.037116826
-0.0458181,0.017263597,-0.033759903,-0.023002269,0.05622688
-0.036983058,0.030392243,-0.015722744,-0.030087022,0.05052833
-0.04069751,0.026471067,-0.022369733,-0.023054315,0.064718395
-0.03201375,0.048236825,-0.026605649,-0.028005315,0.0426806
-0.05968636,0.030101012,-0.047684405,-0.024761472,0.044407617
-0.04060746,0.03503427,-0.0041421712,-0.020495873,0.04476321
-0.048157696,0.028887441,-0.024508987,-0.028729873,0.043230418
-0.033694133,0.038695324,-0.021763673,-0.010127172,0.0504546
-0.028080205,0.048197556,-0.04269056,-0.017066203,0.050562818
-0.035607055,0.039887577,-0.025523704,-0.02809026,0.047993984
-0.047301557,0.0175249,-0.03631223,-0.019674547,0.043930378
-0.03861755,0.03553576,-0.024559032,-0.016945181,0.037007287
-0.042655826,0.019221189,-0.026449025,-0.022367725,0.05411788
-0.021001792,0.048427537,-0.023965605,-0.020462696,0.040003188
-0.05303892,0.02271746,-0.031024158,-0.01580087,0.059230976
-0.055673912,0.03259354,-0.038847048,-0.011330803,0.050734825
-0.039062306,0.05145232,-0.03178057,-0.017858507,0.043867003
-0.038558744,0.029469732,-0.016406413,-0.025853109,0.050924063
-0.041998252,0.052545436,-0.03083515,-0.021607326,0.045494672
-0.045849968,0.025541257,-0.023007773,-0.017825363,0.051698968
-0.040588345,0.03344024,-0.020619007,-0.015874073,0.050826285
-0.04495886,0.03293084,-0.043069027,-0.03135887,0.06028793
-0.045314517,0.042570148,-0.03890876,-0.019252403,0.050067358
-0.039618414,0.012955565,-0.022833478,-0.014743845,0.039422516
-0.053429592,0.020996165,-0.02179007,-0.011184237,0.068655275
-0.04193007,0.031279415,-0.015333976,-0.015000273,0.047851585
-0.0464255,0.037701715,-0.0468993,-0.0040959013,0.057514574
-0.0594083,0.05335127,-0.048518494,-0.032981336,0.067530125
-0.047159042,0.033150703,-0.03209511,-0.025819559,0.03806865
-0.054141115,0.057496913,-0.048200592,-0.012270484,0.072776645
-0.05065001,0.042594384,-0.025455277,-0.012039487,0.05200004
-0.05364033,0.033742845,-0.008689853,-0.00670338,0.04310553
-0.023999223,0.037663348,-0.009384992,-0.01593975,0.045130853
-0.052784573,0.021719936,-0.021887682,-0.03172349,0.049206335
-0.040873665,0.042161487,-0.008083313,-0.017249899,0.03514208
-0.042708643,0.05300033,-0.018892562,-0.02239749,0.05410576
-0.02697985,0.027977632,-0.026554335,-0.025626866,0.06457555
